Region,Date,Year,Month,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Auburn, WA",10/31/2015,2015,11,$300K,-2.1%,11.1%,105,-29.1%,-12.5%,86,-33.3%,-15.7%,271,-12.6%,-28.1%,24,1,-26,99.7%,-0.7%,0.9%
"Auburn, WA",11/30/2015,2015,12,$320K,6.7%,13.5%,139,32.4%,-9.7%,79,-8.1%,-21.8%,230,-15.1%,-33.7%,33,9,-16,100.0%,0.3%,0.5%
"Auburn, WA",12/31/2015,2015,1,$304K,-5.2%,4.7%,92,-33.8%,8.2%,119,50.6%,-3.3%,220,-4.3%,-31.5%,50,17,1,99.4%,-0.6%,0.4%
"Auburn, WA",1/31/2016,2016,2,$319K,5.1%,16.2%,101,9.8%,7.4%,164,37.8%,18.0%,216,-1.8%,-28.7%,35,-15,-18,99.6%,0.2%,0.7%
"Auburn, WA",2/29/2016,2016,3,$306K,-3.9%,9.7%,155,53.5%,6.2%,192,17.1%,-0.5%,198,-8.3%,-37.5%,15,-20,-35,99.9%,0.2%,0.4%
"Auburn, WA",3/31/2016,2016,4,$313K,2.0%,4.2%,185,19.4%,31.2%,265,38.0%,22.1%,239,20.7%,-25.8%,11,-4,-15,100.7%,0.8%,0.9%
"Auburn, WA",4/30/2016,2016,5,$350K,12.0%,21.3%,194,4.9%,11.5%,243,-8.3%,13.0%,240,0.4%,-31.2%,8,-3,-11,101.1%,0.4%,0.9%
"Auburn, WA",5/31/2016,2016,6,$336K,-4.0%,6.5%,215,10.8%,22.2%,254,4.5%,33.0%,303,26.3%,-8.2%,9,1,-8,100.9%,-0.2%,0.6%
"Auburn, WA",6/30/2016,2016,7,$338K,0.6%,3.9%,192,-10.7%,-9.0%,232,-8.7%,15.4%,315,4.0%,-9.5%,13,4,-8,100.7%,-0.2%,0.2%
"Auburn, WA",7/31/2016,2016,8,$330K,-2.4%,7.9%,193,0.5%,13.5%,214,-7.8%,35.4%,342,8.6%,-2.0%,19,6,-5,100.3%,-0.5%,0.5%
"Auburn, WA",8/31/2016,2016,9,$332K,0.7%,10.0%,185,-4.1%,19.4%,191,-10.7%,25.7%,341,-0.3%,1.5%,17,-2,-8,100.3%,0.0%,0.6%
"Auburn, WA",9/30/2016,2016,10,$314K,-5.5%,2.4%,176,-4.9%,18.9%,136,-28.8%,5.4%,300,-12.0%,-3.2%,19,2,-4,100.2%,0.0%,-0.2%
"Auburn, WA",10/31/2016,2016,11,$340K,8.3%,13.3%,154,-12.5%,46.7%,113,-16.9%,31.4%,236,-21.3%,-12.9%,23,4,-1,99.4%,-0.8%,-0.3%
"Auburn, WA",11/30/2016,2016,12,$340K,0.0%,6.3%,177,14.9%,27.3%,89,-21.2%,12.7%,195,-17.4%,-15.2%,27,4,-6,99.7%,0.3%,-0.3%
"Auburn, WA",12/31/2016,2016,1,$327K,-3.8%,7.8%,124,-29.9%,34.8%,114,28.1%,-4.2%,160,-17.9%,-27.3%,42,15,-8,99.7%,0.1%,0.3%
"Auburn, WA",1/31/2017,2017,2,$329K,0.7%,3.3%,124,0.0%,22.8%,120,5.3%,-26.8%,145,-9.4%,-32.9%,35,-7,0,100.0%,0.3%,0.4%
"Auburn, WA",2/28/2017,2017,3,$373K,13.2%,21.7%,173,39.5%,11.6%,193,60.8%,0.5%,158,9.0%,-20.2%,20,-15,5,100.7%,0.7%,0.9%
"Auburn, WA",3/31/2017,2017,4,$365K,-2.1%,16.8%,138,-20.2%,-25.4%,225,16.6%,-15.1%,188,19.0%,-21.3%,9,-11,-2,102.6%,1.9%,2.0%
"Auburn, WA",4/30/2017,2017,5,$370K,1.4%,5.7%,192,39.1%,-1.0%,229,1.8%,-5.8%,205,9.0%,-14.6%,7,-2,-1,102.1%,-0.5%,1.0%
"Auburn, WA",5/31/2017,2017,6,$350K,-5.4%,4.2%,203,5.7%,-5.6%,212,-7.4%,-16.5%,219,6.8%,-27.7%,9,2,0,102.3%,0.1%,1.3%
"Auburn, WA",6/30/2017,2017,7,$355K,1.4%,5.0%,160,-21.2%,-16.7%,228,7.5%,-1.7%,273,24.7%,-13.3%,11,2,-2,101.4%,-0.9%,0.7%
"Auburn, WA",7/31/2017,2017,8,$361K,1.5%,9.3%,191,19.4%,-1.0%,231,1.3%,7.9%,304,11.4%,-11.1%,11,0,-8,101.4%,0.0%,1.1%
"Auburn, WA",8/31/2017,2017,9,$375K,4.0%,12.9%,176,-7.9%,-4.9%,185,-19.9%,-3.1%,296,-2.6%,-13.2%,14,3,-3,100.9%,-0.5%,0.7%
"Auburn, WA",9/30/2017,2017,10,$365K,-2.7%,16.2%,174,-1.1%,-1.1%,162,-12.4%,19.1%,262,-11.5%,-12.7%,24,10,5,100.5%,-0.5%,0.2%
"Auburn, WA",10/31/2017,2017,11,$353K,-3.3%,3.8%,162,-6.9%,5.2%,102,-37.0%,-9.7%,201,-23.3%,-14.8%,23,-1,0,99.4%,-1.0%,0.0%
"Auburn, WA",11/30/2017,2017,12,$370K,4.8%,8.8%,145,-10.5%,-18.1%,61,-40.2%,-31.5%,131,-34.8%,-32.8%,26,3,-1,100.2%,0.8%,0.6%
"Auburn, WA",12/31/2017,2017,1,$360K,-2.7%,10.0%,113,-22.1%,-8.9%,112,83.6%,-1.8%,102,-22.1%,-36.3%,32,6,-10,100.3%,0.0%,0.5%
"Auburn, WA",1/31/2018,2018,2,$395K,9.7%,19.9%,115,1.8%,-7.3%,113,0.9%,-5.8%,103,1.0%,-29.0%,19,-13,-16,100.0%,-0.3%,-0.1%
"Auburn, WA",2/28/2018,2018,3,$400K,1.3%,7.2%,139,20.9%,-19.7%,192,69.9%,-0.5%,125,21.4%,-20.9%,6,-13,-14,101.8%,1.9%,1.1%
"Auburn, WA",3/31/2018,2018,4,$390K,-2.5%,6.8%,167,20.1%,21.0%,217,13.0%,-3.6%,150,20.0%,-20.2%,7,1,-2,102.4%,0.6%,-0.2%
"Auburn, WA",4/30/2018,2018,5,$390K,0.0%,5.4%,185,10.8%,-3.6%,254,17.1%,10.9%,193,28.7%,-5.9%,6,-1,-1,102.8%,0.4%,0.7%
"Auburn, WA",5/31/2018,2018,6,$408K,4.5%,16.4%,192,3.8%,-5.4%,243,-4.3%,14.6%,263,36.3%,20.1%,7,1,-2,102.1%,-0.7%,-0.2%
"Auburn, WA",6/30/2018,2018,7,$400K,-1.8%,12.7%,184,-4.2%,15.0%,203,-16.5%,-11.0%,302,14.8%,10.6%,10,3,-1,101.4%,-0.7%,0.0%
"Auburn, WA",7/31/2018,2018,8,$387K,-3.4%,7.2%,154,-16.3%,-19.4%,219,7.9%,-5.2%,348,15.2%,14.5%,12,2,1,100.4%,-1.0%,-1.0%
"Auburn, WA",8/31/2018,2018,9,$388K,0.3%,3.3%,130,-15.6%,-26.1%,151,-31.1%,-18.4%,331,-4.9%,11.8%,17,5,3,99.5%,-0.9%,-1.4%
"Auburn, WA",9/30/2018,2018,10,$368K,-5.2%,0.7%,146,12.3%,-16.1%,134,-11.3%,-17.3%,317,-4.2%,21.0%,20,3,-4,99.5%,0.0%,-1.0%
"Auburn, WA",10/31/2018,2018,11,$394K,7.3%,11.7%,136,-6.8%,-16.0%,92,-31.3%,-9.8%,261,-17.7%,29.9%,28,8,5,99.5%,0.0%,0.1%
"Auburn, WA",11/30/2018,2018,12,$378K,-4.1%,2.2%,95,-30.1%,-34.5%,46,-50.0%,-24.6%,187,-28.4%,42.7%,47,19,21,99.5%,0.0%,-0.8%
"Auburn, WA",12/31/2018,2018,1,$384K,1.6%,6.7%,112,17.9%,-0.9%,86,87.0%,-23.2%,161,-13.9%,57.8%,43,-4,11,99.2%,-0.3%,-1.1%
"Auburn, WA",1/31/2019,2019,2,$400K,4.2%,1.3%,91,-18.8%,-20.9%,98,14.0%,-13.3%,156,-3.1%,51.5%,30,-13,11,99.4%,0.2%,-0.6%
"Auburn, WA",2/28/2019,2019,3,$438K,9.4%,9.4%,131,44.0%,-5.8%,161,64.3%,-16.1%,163,4.5%,30.4%,14,-16,8,100.2%,0.8%,-1.6%
"Auburn, WA",3/31/2019,2019,4,$408K,-6.9%,4.5%,122,-6.9%,-26.9%,163,1.2%,-24.9%,172,5.5%,14.7%,8,-6,1,100.8%,0.6%,-1.7%
"Auburn, WA",4/30/2019,2019,5,$440K,8.0%,12.8%,139,13.9%,-24.9%,251,54.0%,-1.2%,235,36.6%,21.8%,9,1,3,100.2%,-0.5%,-2.6%
"Auburn, WA",5/31/2019,2019,6,$415K,-5.7%,1.8%,184,32.4%,-4.2%,188,-25.1%,-22.6%,217,-7.7%,-17.5%,8,-1,1,100.5%,0.2%,-1.6%
"Auburn, WA",6/30/2019,2019,7,$415K,0.0%,3.8%,175,-4.9%,-4.9%,137,-27.1%,-32.5%,196,-9.7%,-35.1%,10,2,0,100.5%,0.0%,-0.9%
"Auburn, WA",7/31/2019,2019,8,$405K,-2.4%,4.8%,151,-13.7%,-1.9%,175,27.7%,-20.1%,220,12.2%,-36.8%,16,6,4,100.2%,-0.3%,-0.2%
"Auburn, WA",8/31/2019,2019,9,$430K,6.2%,11.0%,141,-6.6%,8.5%,136,-22.3%,-9.9%,195,-11.4%,-41.1%,15,-1,-2,99.4%,-0.8%,-0.1%
"Auburn, WA",9/30/2019,2019,10,$412K,-4.2%,12.1%,162,14.9%,11.0%,119,-12.5%,-11.2%,161,-17.4%,-49.2%,12,-3,-8,100.2%,0.9%,0.8%
"Auburn, WA",10/31/2019,2019,11,$430K,4.4%,9.1%,101,-37.7%,-25.7%,81,-31.9%,-12.0%,134,-16.8%,-48.7%,18,6,-10,100.5%,0.3%,1.1%
"Auburn, WA",11/30/2019,2019,12,$400K,-7.0%,5.8%,130,28.7%,36.8%,63,-22.2%,37.0%,112,-16.4%,-40.1%,17,-1,-30,100.3%,-0.3%,0.8%
"Auburn, WA",12/31/2019,2019,1,$420K,5.0%,9.4%,70,-46.2%,-37.5%,114,81.0%,32.6%,112,0.0%,-30.4%,19,2,-24,100.1%,-0.1%,1.0%
"Auburn, WA",1/31/2020,2020,2,$459K,9.3%,14.8%,97,38.6%,6.6%,154,35.1%,57.1%,127,13.4%,-18.6%,14,-5,-16,101.8%,1.7%,2.4%
"Auburn, WA",2/29/2020,2020,3,$435K,-5.2%,-0.6%,131,35.1%,0.0%,156,1.3%,-3.1%,151,18.9%,-7.4%,6,-8,-8,101.6%,-0.2%,1.4%
"Auburn, WA",3/31/2020,2020,4,$445K,2.3%,9.2%,105,-19.8%,-13.9%,124,-20.5%,-23.9%,166,9.9%,-3.5%,5,-1,-3,101.5%,-0.1%,0.7%
"Auburn, WA",4/30/2020,2020,5,$425K,-4.5%,-3.4%,107,1.9%,-23.0%,145,16.9%,-42.2%,149,-10.2%,-36.6%,9,4,0,101.1%,-0.4%,0.9%
"Auburn, WA",5/31/2020,2020,6,$440K,3.5%,6.0%,145,35.5%,-21.2%,186,28.3%,-1.1%,148,-0.7%,-31.8%,11,2,3,101.1%,0.0%,0.6%
"Auburn, WA",6/30/2020,2020,7,$475K,8.0%,14.5%,183,26.2%,4.6%,227,22.0%,65.7%,151,2.0%,-23.0%,7,-4,-3,101.3%,0.2%,0.8%
"Auburn, WA",7/31/2020,2020,8,$466K,-1.9%,15.1%,209,14.2%,38.4%,209,-7.9%,19.4%,153,1.3%,-30.5%,6,-1,-10,101.8%,0.6%,1.6%
"Auburn, WA",8/31/2020,2020,9,$493K,5.9%,14.8%,180,-13.9%,27.7%,173,-17.2%,27.2%,129,-15.7%,-33.8%,7,1,-8,101.5%,-0.3%,2.1%
"Auburn, WA",9/30/2020,2020,10,$483K,-2.2%,17.1%,200,11.1%,23.5%,155,-10.4%,30.3%,105,-18.6%,-34.8%,7,0,-5,101.9%,0.4%,1.7%
"Auburn, WA",10/31/2020,2020,11,$480K,-0.5%,11.7%,175,-12.5%,73.3%,98,-36.8%,21.0%,79,-24.8%,-41.0%,6,-1,-12,101.8%,-0.1%,1.3%
"Auburn, WA",11/30/2020,2020,12,$502K,4.6%,25.6%,153,-12.6%,17.7%,82,-16.3%,30.2%,45,-43.0%,-59.8%,7,1,-10,102.1%,0.3%,1.9%
"Auburn, WA",12/31/2020,2020,1,$477K,-5.1%,13.6%,86,-43.8%,22.9%,123,50.0%,7.9%,57,26.7%,-49.1%,6,-1,-13,102.7%,0.6%,2.6%
"Auburn, WA",1/31/2021,2021,2,$495K,3.8%,7.8%,100,16.3%,3.1%,129,4.9%,-16.2%,52,-8.8%,-59.1%,5,-1,-9,104.4%,1.7%,2.6%
"Bainbridge Island, WA",1/31/2012,2012,2,$407K,8.5%,-18.8%,29,81.3%,16.0%,52,67.7%,62.5%,207,11.3%,14.4%,129,-38,-24,96.7%,0.7%,0.0%
"Bainbridge Island, WA",2/29/2012,2012,3,$483K,18.6%,11.4%,24,-17.2%,-20.0%,54,3.8%,0.0%,209,1.0%,7.7%,98,-31,6,94.2%,-2.6%,-3.3%
"Bainbridge Island, WA",3/31/2012,2012,4,$500K,3.6%,-10.1%,39,62.5%,95.0%,48,-11.1%,-31.4%,186,-11.0%,-15.1%,84,-14,-93,94.9%,0.8%,1.4%
"Bainbridge Island, WA",4/30/2012,2012,5,$527K,5.4%,24.3%,48,23.1%,65.5%,84,75.0%,9.1%,213,14.5%,-18.7%,95,11,-46,96.2%,1.3%,-0.8%
"Bainbridge Island, WA",5/31/2012,2012,6,$453K,-14.2%,-10.3%,51,6.3%,50.0%,67,-20.2%,-10.7%,215,0.9%,-22.7%,53,-42,-20,96.3%,0.1%,3.5%
"Bainbridge Island, WA",6/30/2012,2012,7,$535K,18.2%,10.6%,53,3.9%,55.9%,45,-32.8%,-16.7%,196,-8.8%,-31.2%,32,-21,-12,96.2%,-0.1%,0.1%
"Bainbridge Island, WA",7/31/2012,2012,8,$497K,-7.1%,8.3%,56,5.7%,80.6%,49,8.9%,-18.3%,201,2.6%,-31.4%,72,40,35,95.3%,-1.0%,-0.7%
"Bainbridge Island, WA",8/31/2012,2012,9,$396K,-20.4%,-1.0%,34,-39.3%,17.2%,43,-12.2%,4.9%,189,-6.0%,-31.0%,61,-11,-14,96.9%,1.6%,1.5%
"Bainbridge Island, WA",9/30/2012,2012,10,$498K,26.0%,10.0%,48,41.2%,71.4%,24,-44.2%,-35.1%,163,-13.8%,-34.0%,74,13,8,96.8%,-0.1%,0.1%
"Bainbridge Island, WA",10/31/2012,2012,11,$425K,-14.7%,-6.0%,28,-41.7%,21.7%,23,-4.2%,0.0%,143,-12.3%,-36.2%,84,10,-11,97.3%,0.4%,2.6%
"Bainbridge Island, WA",11/30/2012,2012,12,$386K,-9.3%,-14.1%,42,50.0%,90.9%,10,-56.5%,-50.0%,117,-18.2%,-44.0%,75,-9,-1,96.0%,-1.3%,-1.0%
"Bainbridge Island, WA",12/31/2012,2012,1,$349K,-9.5%,-6.9%,24,-42.9%,50.0%,40,300.0%,29.0%,122,4.3%,-34.4%,111,36,-56,95.3%,-0.7%,-0.8%
"Bainbridge Island, WA",1/31/2013,2013,2,$425K,21.8%,4.4%,31,29.2%,6.9%,40,0.0%,-23.1%,114,-6.6%,-44.9%,94,-17,-35,96.1%,0.8%,-0.6%
"Bainbridge Island, WA",2/28/2013,2013,3,$499K,17.4%,3.4%,39,25.8%,62.5%,68,70.0%,25.9%,120,5.3%,-42.6%,88,-6,-10,96.7%,0.6%,2.6%
"Bainbridge Island, WA",3/31/2013,2013,4,$485K,-2.8%,-3.0%,47,20.5%,20.5%,66,-2.9%,37.5%,148,23.3%,-20.4%,13,-75,-71,99.2%,2.4%,4.2%
"Bainbridge Island, WA",4/30/2013,2013,5,$465K,-4.1%,-11.8%,46,-2.1%,-4.2%,69,4.5%,-17.9%,150,1.4%,-29.6%,12,-1,-83,99.0%,-0.1%,2.8%
"Bainbridge Island, WA",5/31/2013,2013,6,$515K,10.7%,13.8%,55,19.6%,7.8%,77,11.6%,14.9%,153,2.0%,-28.8%,31,19,-22,98.2%,-0.8%,1.9%
"Bainbridge Island, WA",6/30/2013,2013,7,$509K,-1.2%,-4.9%,63,14.5%,18.9%,56,-27.3%,24.4%,158,3.3%,-19.4%,47,16,15,97.8%,-0.4%,1.6%
"Bainbridge Island, WA",7/31/2013,2013,8,$530K,4.1%,6.6%,49,-22.2%,-12.5%,38,-32.1%,-22.4%,142,-10.1%,-29.4%,39,-8,-33,96.5%,-1.3%,1.2%
"Bainbridge Island, WA",8/31/2013,2013,9,$555K,4.7%,40.3%,53,8.2%,55.9%,40,5.3%,-7.0%,135,-4.9%,-28.6%,46,7,-15,97.4%,0.9%,0.5%
"Bainbridge Island, WA",9/30/2013,2013,10,$465K,-16.2%,-6.7%,29,-45.3%,-39.6%,49,22.5%,104.2%,136,0.7%,-16.6%,51,5,-23,95.9%,-1.5%,-0.9%
"Bainbridge Island, WA",10/31/2013,2013,11,$513K,10.2%,20.6%,32,10.3%,14.3%,22,-55.1%,-4.3%,109,-19.9%,-23.8%,61,10,-23,97.0%,1.1%,-0.3%
"Bainbridge Island, WA",11/30/2013,2013,12,$483K,-5.8%,25.2%,35,9.4%,-16.7%,13,-40.9%,30.0%,92,-15.6%,-21.4%,40,-21,-35,97.7%,0.7%,1.6%
"Bainbridge Island, WA",12/31/2013,2013,1,$490K,1.5%,40.4%,27,-22.9%,12.5%,27,107.7%,-32.5%,80,-13.0%,-34.4%,85,45,-26,95.1%,-2.6%,-0.3%
"Bainbridge Island, WA",1/31/2014,2014,2,$460K,-6.1%,8.2%,35,29.6%,12.9%,38,40.7%,-5.0%,83,3.8%,-27.2%,21,-64,-73,97.6%,2.6%,1.5%
"Bainbridge Island, WA",2/28/2014,2014,3,$638K,38.7%,27.9%,29,-17.1%,-25.6%,43,13.2%,-36.8%,89,7.2%,-25.8%,47,26,-41,98.0%,0.4%,1.3%
"Bainbridge Island, WA",3/31/2014,2014,4,$578K,-9.4%,19.2%,35,20.7%,-25.5%,84,95.3%,27.3%,117,31.5%,-20.9%,44,-3,31,98.2%,0.2%,-1.0%
"Bainbridge Island, WA",4/30/2014,2014,5,$513K,-11.3%,10.2%,28,-20.0%,-39.1%,61,-27.4%,-11.6%,111,-5.1%,-26.0%,9,-35,-3,99.0%,0.9%,0.0%
"Bainbridge Island, WA",5/31/2014,2014,6,$540K,5.4%,4.9%,67,139.3%,21.8%,72,18.0%,-6.5%,143,28.8%,-6.5%,15,6,-16,98.1%,-0.9%,-0.1%
